2,1,0,7
2,2,0,8
2,3,0,9
2,4,0,10
2,5,1,10
2,6,2,10
2,7,3,10
2,8,4,10
2,9,5,10
2,10,5,11
2,11,5,12
2,12,5,13
2,13,5,14
2,14,5,15
2,15,5,16
2,16,5,17
2,17,5,18
2,18,5,19
2,19,5,20
2,20,5,21
2,21,5,22
2,22,5,23
2,23,5,24
2,24,5,25
2,25,5,26
2,26,5,27
2,27,5,28
2,28,5,29
2,29,5,30
2,30,6,30
2,31,7,30
2,32,8,30
2,33,9,30
2,34,10,30
2,35,11,30
2,36,12,30
2,37,13,30
2,38,14,30
2,39,15,30
2,40,16,30
2,41,17,30
2,42,18,30
2,43,19,30
2,44,20,30
2,45,20,29
2,46,20,28
2,47,20,27
2,48,20,26
2,49,20,25
2,50,20,24
2,51,20,23
2,52,20,22
2,53,20,21
2,54,20,20
2,55,20,19
2,56,20,18
2,57,21,18
4,58,0,7
4,59,0,8
4,60,0,9
4,61,0,10
4,62,1,10
4,63,2,10
4,64,3,10
4,65,4,10
4,66,5,10
4,67,5,11
4,68,5,12
4,69,5,13
4,70,5,14
4,71,5,15
4,72,5,16
4,73,5,17
4,74,5,18
4,75,5,19
4,76,5,20
4,77,5,21
4,78,5,22
4,79,5,23
4,80,5,24
4,81,5,25
4,82,5,26
4,83,5,27
4,84,5,28
4,85,5,29
4,86,5,30
4,87,6,30
4,88,7,30
4,89,8,30
4,90,9,30
4,91,10,30
4,92,11,30
4,93,12,30
4,94,13,30
4,95,14,30
4,96,15,30
4,97,16,30
4,98,17,30
4,99,18,30
4,100,19,30
4,101,20,30
4,102,20,29
4,103,20,28
4,104,20,27
4,105,20,26
4,106,20,25
4,107,20,24
4,108,20,23
4,109,20,22
4,110,20,21
4,111,20,20
4,112,20,19
4,113,20,18
4,114,21,18
